SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1311.00,1341.60,1309.00,1321.70,1321.70,1312.25,1328,9047,11949155.00,
500003,AEGIS LOGIS ,A ,Q,290.00,292.60,283.50,286.00,286.00,288.00,675,11114,3201558.00,
500008,AMAR RAJA BA,A ,Q,799.50,810.00,791.90,805.60,805.60,799.75,4099,59547,47676862.00,
500009,A.SARABHAI  ,X ,Q,18.90,19.40,18.65,19.00,19.00,18.55,121,26457,504818.00,
500010,HDFC        ,A ,Q,2420.00,2522.30,2413.50,2512.25,2512.25,2420.65,7368,88693,219101688.00,
500012,ANDHRA PETRO,X ,Q,58.75,62.05,56.70,61.20,61.40,59.10,1307,464655,28399564.00,
500013,ANSAL INFRAS,B ,Q,6.51,6.62,6.20,6.50,6.50,6.31,110,66117,428970.00,
500014,UTIQUE      ,X ,Q,1.90,1.91,1.90,1.90,1.90,1.85,16,11122,21138.00,
500020,BOM DYEING  ,A ,Q,68.95,69.70,68.25,69.35,69.35,68.20,1012,223156,15374406.00,
500023,ASIANHOTNR  ,B ,Q,64.30,67.30,62.40,62.60,65.10,64.90,34,690,43318.00,
500027,ATUL LTD.   ,A ,Q,7745.00,7921.15,7662.90,7755.40,7736.95,7746.50,371,736,5731092.00,
500028,ATV PROJECTS,XT,Q,4.18,4.40,4.18,4.40,4.40,4.21,15,4199,18045.00,
500031,BAJAJ ELECT.,A ,Q,1050.00,1070.05,1025.30,1058.45,1058.45,1046.35,577,3305,3480260.00,
500032,BAJAJHIND   ,A ,Q,6.23,6.34,6.17,6.28,6.28,6.18,394,489233,3065710.00,
500033,FORCE MOTR  ,A ,Q,1132.15,1143.10,1113.60,1133.55,1133.55,1121.95,239,1084,1224562.00,
500034,BAJFINANCE  ,A ,Q,4525.00,4776.15,4515.00,4727.40,4727.40,4512.95,23054,195490,910379081.00,
500038,BALRAM.CHINI,A ,Q,228.40,241.40,219.80,237.70,236.20,226.90,3052,202570,47040749.00,
500039,BANCO PROD. ,B ,Q,143.10,146.20,141.20,145.30,145.75,142.40,215,7798,1119875.00,
500040,CENTURY TEXT,A ,Q,455.00,468.10,448.95,459.30,457.50,455.15,772,21267,9746863.00,
500041,BANNARI AMAN,A ,Q,1645.00,1645.00,1580.95,1581.60,1595.00,1620.00,24,54,85469.00,
500042,BASF INDIA  ,A ,Q,1940.05,2157.30,1940.05,2115.20,2091.00,1942.50,1452,7654,15867504.00,
500043,BATA INDIA  ,A ,Q,1305.00,1331.00,1301.40,1313.95,1313.95,1306.25,2875,29835,39255405.00,
500048,BEML LTD    ,A ,Q,1165.00,1230.50,1141.00,1213.10,1213.10,1169.35,1088,21853,26200608.00,
500049,BHARAT ELECT,A ,Q,126.90,126.90,121.70,125.60,125.60,121.90,2077,279688,34606866.00,
500052,BHANSALI ENG,A ,Q,153.05,160.00,148.85,157.75,157.75,149.50,1080,68257,10628129.00,
500055,TATASTLBSL  ,B ,Q,55.00,56.80,54.50,56.50,56.50,54.50,1450,334951,18716034.00,
500058,BIHAR SPONGE,XT,Q,2.77,2.77,2.77,2.77,2.77,2.64,9,7200,19944.00,
500060,BIRLACABLE  ,B ,Q,57.50,58.65,57.30,58.35,58.25,57.40,58,3593,208593.00,
500067,BLUE STAR   ,A ,Q,851.20,890.55,851.20,865.45,860.00,868.30,1043,12203,10659557.00,
500068,DISA INDIA  ,X ,Q,4380.00,4825.00,4355.10,4792.30,4825.00,4490.25,74,675,3185510.00,
500069,BNK CAPITAL ,X ,Q,184.20,185.40,183.60,184.00,183.90,183.90,59,31980,5885954.00,
500074,BPL LTD.    ,B ,Q,21.75,22.50,21.75,22.20,22.05,21.80,60,5672,126499.00,
500078,OAL         ,B ,Q,654.00,723.00,654.00,715.50,715.50,684.15,852,6162,4361472.00,
500083,CENTURY EXT ,B ,Q,4.56,4.61,4.46,4.50,4.50,4.40,46,19950,90175.00,
500084,CESC LTD.   ,A ,Q,585.05,603.75,585.05,591.05,595.00,590.60,1768,59141,35118800.00,
500085,CHAMBAL FERT,A ,Q,222.00,228.30,222.00,225.35,225.35,224.80,641,29085,6553175.00,
500086,EXIDE IND.  ,A ,Q,175.55,180.85,175.55,179.35,179.45,176.25,2130,160848,28711430.00,
